"Simple_LR","ARIMA","Random_Forest","Actual_Price","Date"
6924.38410273156,6365,6685.19123611111,9067.5,2021-03-17
6917.7337798882,6415.5,6691.67865277778,8806.5,2021-03-16
6940.38687898989,6458.5,6703.48744444445,8650,2021-03-15
6933.8181897543,6411.5,6688.42848611111,8413.5,2021-03-12
6914.25752180391,6428,6691.36495833334,8439.5,2021-03-11
6880.54484938521,6421.5,6683.38523611111,8416.5,2021-03-10
6887.90692535382,6473,6619.27020833334,8270.5,2021-03-09
6921.99203089302,6501.5,6690.433,8292,2021-03-08
6977.43934346611,6507.5,6689.38683333334,8279.5,2021-03-05
6869.6523951278,6556.5,6643.12962500001,8146.5,2021-03-04
6779.94988004602,6602.5,6891.19636111111,8007,2021-03-03
6714.64331888635,6656.5,6765.91030555556,7936.5,2021-03-02
6738.86707186332,6638,6814.38481944445,7833.5,2021-03-01
6775.26348956749,6625.5,6874.00331944445,7832.5,2021-02-26
6860.79744704761,6586.5,6692.10477777778,7755.5,2021-02-25
6849.17624613997,6593,6734.108125,7827,2021-02-24
6770.60898216326,6565.5,6859.59256944445,7877,2021-02-23
6774.63337005001,6549.5,6859.59256944445,7778.5,2021-02-22
6664.20770118143,6597.5,6786.22241666667,7895,2021-02-19
6712.82951205616,6588,6799.13820833334,7957,2021-02-18
6692.48141319247,6331.5,6892.32681944445,7984.5,2021-02-17
6675.04532301984,6398.5,6789.10169444445,7872,2021-02-16
NA,6402,NA,8051,2021-02-15
6672.80583679885,6474.5,6766.51108333333,8014.5,2021-02-12
6640.74842977306,6347.5,6779.79116666667,7986.5,2021-02-11
6647.30099941788,6423.5,6787.45227777778,7972.5,2021-02-10
6639.73309156142,6385.5,6780.42086111112,7979.5,2021-02-09
6682.83887247927,6543.5,6782.15380555556,8002.5,2021-02-08
6662.39373263153,6582.5,6712.592625,7960.5,2021-02-05
6646.49641325989,6458.5,6621.376,7983,2021-02-04
6627.39787183316,6510.5,6494.24870833333,7951.5,2021-02-03
6548.98073339109,6404.5,6044.08958333334,8146,2021-02-02
6493.55934807257,6407.5,5747.27898611111,8036.5,2021-02-01
6431.10154728233,6426.5,5769.09761111111,8129.5,2021-01-29
6469.03411398488,6434,5776.85680555555,7914,2021-01-28
6492.62985142002,6422.5,5708.84588888889,7918.5,2021-01-27
6515.12389125747,6450.5,5739.15602777778,7741.5,2021-01-26
6527.03974352191,6373.5,5708.84588888889,7803.5,2021-01-25
6526.00566391688,6267.5,5776.85680555555,7840,2021-01-22
6550.21750525439,6292,5739.05506944445,7793,2021-01-21
6552.8443141452,6295.5,5741.58705555556,7764.5,2021-01-20
6513.18080426169,6207.5,5735.14233333334,7753,2021-01-19
NA,6141,NA,7838.5,2021-01-18
6514.95975010772,6132.5,5776.84931944444,7964,2021-01-15
6565.11647993937,6157,5755.497875,7893,2021-01-14
6575.96549559027,6214.5,5708.84588888889,7823,2021-01-13
6570.08561013524,6194.5,5740.96680555556,7753,2021-01-12
6518.50239614322,6263,5759.70165277778,7763,2021-01-11
6522.82441329663,6197,5759.70165277778,7741,2021-01-08
6465.74776258519,6192.5,5003.53841666667,7712,2021-01-07
6463.54698919243,6167.5,4992.79906944445,7704.5,2021-01-06
6436.08715317622,6164.5,5069.17679166667,7635,2021-01-05
6349.44046039317,6236.5,5091.804125,7656.5,2021-01-04
6387.96407767772,6090,5021.80006944444,7741.5,2020-12-31
6351.78540350084,6065.5,5004.28922222222,7679,2020-12-30
6332.74256842732,6072.5,4984.53822222222,7616.5,2020-12-29
6304.50125731753,6027,5186.94994444444,7644,2020-12-28
6361.28150880376,5951,4997.50151388889,7674.5,2020-12-24
6355.47940511243,6002.5,4997.92805555555,7462,2020-12-23
6302.27070482613,6064.5,4914.28555555555,7356.5,2020-12-22
6343.77954850688,6074,5016.87184722222,7238.5,2020-12-21
6377.63166486223,5973,5082.44301388889,7302,2020-12-18
6448.01439925315,6046.5,5021.13434722222,7215.5,2020-12-17
6421.00144410403,6017.5,4984.53822222222,7178.5,2020-12-16
6467.79912265781,6121.5,5189.17191666667,7028,2020-12-15
6433.75868576656,6070,4914.28555555555,7083,2020-12-14
6349.18190006198,6034,4679.45741666667,7050,2020-12-11
6354.2922220629,6142,4714.54890277778,7113,2020-12-10
6285.89585155455,6013.5,4636.97426388889,6926,2020-12-09
6289.54991029646,5939,4646.41743055556,6904,2020-12-08
6296.57739203859,6037,4649.82793055556,6912.5,2020-12-07
6311.90835804135,6086.5,4674.25323611111,6865.5,2020-12-04
6277.00989433427,6227,4646.41743055556,7034,2020-12-03
6275.04211012537,6357,4616.76111111111,6938.5,2020-12-02
6253.27296509408,6238.5,4627.05394444444,6798,2020-12-01
6283.51394348706,6143.5,4609.36629166667,6748,2020-11-30
NA,6192.5,NA,6791.5,2020-11-27
NA,6233.5,NA,6712.5,2020-11-26
6224.955620089,6314.5,4644.53391666667,6694.5,2020-11-25
6202.3981702102,6227.5,4615.60776388889,6692,2020-11-24
6117.2145704401,6403.5,4672.021875,6694.5,2020-11-23
6079.15780545748,6360,4612.61813888888,6787.5,2020-11-20
6107.8791105501,6446.5,4617.59018055555,6806,2020-11-19
6099.45404981203,6503,4669.72494444444,6879.5,2020-11-18
6048.90789333491,6549.5,4595.02794444444,6886,2020-11-17
6046.03022780105,6479.5,4596.49726388889,6953,2020-11-16
5980.12332622254,6464,4592.63288888889,6814,2020-11-13
6007.22772264323,6459,4598.40640277777,6755,2020-11-12
5972.5907971772,6351.5,4594.67802777778,6728,2020-11-11
5979.69097879751,6369,4594.67802777778,6683.5,2020-11-10
5931.21246370349,6521.5,4591.12173611111,6702,2020-11-09
5821.41901832805,6556.5,4560.30536111111,6699.5,2020-11-06
5888.47649410353,6532.5,4584.47720833333,6769,2020-11-05
5948.69691264843,6641.5,4586.39058333333,6740.5,2020-11-04
5927.48641729789,6486,4578.33901388889,6611.5,2020-11-03
5877.45301181211,6521,4525.58325,6525,2020-11-02
5852.1900973446,6501.5,4518.63131944444,6509,2020-10-30
5879.44199749731,6508,4517.81602777777,6507.5,2020-10-29
5939.96774899701,6485,4577.41355555556,6409.5,2020-10-28
6026.71902473254,6504,4606.192375,6614,2020-10-27
5969.39834713199,6468.5,4594.99408333333,6610,2020-10-26
6011.86261471986,6366,4607.98906944444,6546,2020-10-23
6062.18471574271,6302.5,4592.26855555555,6571.5,2020-10-22
6009.05256717866,6341.5,4598.32640277778,6529,2020-10-21
6197.91482809719,6258.5,4601.90486111111,6538.5,2020-10-20
6162.45001102123,6253,4593.93275,6725.5,2020-10-19
6097.90547134725,6368.5,4593.93275,6810,2020-10-16
6122.14534391499,6368.5,4592.88518055555,6837,2020-10-15
6100.01865531251,6550,4598.40640277777,6833.5,2020-10-14
6048.23135730106,6521.5,4591.18423611111,6761,2020-10-13
5998.20092972514,6402.5,4606.17654166667,6776,2020-10-12
6064.92206340573,6621.5,4592.26855555555,6813.5,2020-10-09
6132.65170554403,6577,4595.71794444444,6788,2020-10-08
6072.3508834328,6598.5,4600.67177777778,6757.5,2020-10-07
6101.73979082968,6671.5,4592.84016666666,6710.5,2020-10-06
6040.90747633372,6847,4601.97475,6709,2020-10-05
5977.63965139272,6762,4567.07197222222,6767.5,2020-10-02
6028.60553144092,6718.5,4584.47720833333,6790.5,2020-10-01
6089.92256569799,6705,4591.12173611111,6678,2020-09-30
6039.35766782748,6660.5,4601.65613888889,6613,2020-09-29
6104.34575435145,6723.5,4592.55272222222,6719,2020-09-28
6084.70170492487,6556.5,4591.12173611111,6788.5,2020-09-25
6070.53918057826,6548.5,4591.14673611111,6728,2020-09-24
6106.43126319373,6669.5,4592.73865277778,6602.5,2020-09-23
6087.09079885354,6480.5,4609.44266666667,6603.5,2020-09-22
6034.7150720627,6536.5,4606.192375,6544.5,2020-09-21
6107.7030577609,6587,4595.71794444444,6579.5,2020-09-18
6126.52604533147,6777.5,4598.594,6564.5,2020-09-17
6105.85685002945,6711.5,4590.36165277778,6594.5,2020-09-16
6009.15155041866,6493.5,4600.68541666667,6667,2020-09-15
5974.8474713107,6497.5,4558.02415277778,6492.5,2020-09-14
5952.42910926129,6412.5,4577.63959722222,6439.5,2020-09-11
5958.88428181481,6425.5,4558.41670833333,6342.5,2020-09-10
5966.36845208783,6406.5,4606.63425,6380,2020-09-09
5895.19987293231,6377.5,4567.07197222222,6379,2020-09-08
NA,6475.5,NA,6356.5,2020-09-07
6018.87818482254,6481.5,4608.29479166667,6363,2020-09-04
6142.14570687129,6336.5,4601.90486111111,6437,2020-09-03
6204.77273069681,6292,4667.63581944445,6453.5,2020-09-02
6270.90193986118,6394.5,4667.63581944445,6525.5,2020-09-01
6248.80117851327,6493.5,4690.28205555556,6440,2020-08-31
6290.26833145594,6563.5,4665.437375,6441,2020-08-28
6281.31475624299,6616.5,4670.81645833333,6446.5,2020-08-27
6292.2620429194,6797,4675.38201388889,6433.5,2020-08-26
6270.25780472859,6616.5,4687.74640277778,6475,2020-08-25
6259.99844789852,6691.5,4642.20422222222,6399.5,2020-08-24
6242.78010125319,6668.5,4632.46179166666,6425.5,2020-08-21
6235.87594385693,6687.5,4690.28205555556,6412.5,2020-08-20
6253.06836324769,6605.5,4672.021875,6533.5,2020-08-19
6240.78218183841,6583.5,4670.81645833333,6527,2020-08-18
6245.27639993696,6548,4670.81645833333,6513,2020-08-17
6218.09930363809,6413.5,4620.88355555555,6416.5,2020-08-14
6271.02351633864,6494.5,4620.98216666666,6454.5,2020-08-13
6285.22475351347,6369.5,4690.28205555556,6385,2020-08-12
6234.5692883056,6478.5,4605.759625,6507,2020-08-11
6197.84300215322,6437.5,4613.51684722222,6489.5,2020-08-10
6189.93279638214,6391.5,4596.49726388889,6545,2020-08-07
6185.21539676353,6463.5,4615.09006944444,6322.5,2020-08-06
6219.61722907003,6337,4620.98216666666,6339.5,2020-08-05
6204.75013745935,6143.5,4670.90420833333,6194,2020-08-04
6168.07098003783,6248.5,4592.88518055555,6086,2020-08-03
6167.31368433041,6208.5,4591.12173611111,6112,2020-07-31
6211.54621616632,6048.5,4598.32640277778,6022.5,2020-07-30
6247.96943505927,6036.5,4596.49726388889,6080,2020-07-29
