DATE,Copper,GOLD,Price oil
"19/01/2023,""9071,5"",""1927,8"",""80,31"""
"18/01/2023,8987,""1929,5"",""79,53"""
"17/01/2023,""8766,5"",""1922,9"",""80,25"""
"16/01/2023,8722,""1936,6"","
"13/01/2023,""8362,5"",""1937,6"",""79,9"""
"12/01/2023,8420,""1950,3"",""78,32"""
"11/01/2023,8209,""1943,1"",""77,46"""
"10/01/2023,8390,""1936,2"",""75,11"""
"09/01/2023,8387,""1928,2"",""74,69"""
"06/01/2023,8395,""1923,9"",""73,77"""
"05/01/2023,8451,1907,""73,61"""
"04/01/2023,""8308,5"",""1907,2"",""72,82"""
"03/01/2023,""8345,5"",""1909,9"",""76,87"""
"30/12/2022,8327,""1919,9"",""80,16"""
"29/12/2022,8302,""1921,7"",""78,43"""
"28/12/2022,8331,""1898,8"",""78,89"""
"27/12/2022,""8231,5"",""1878,9"",""79,45"""
"23/12/2022,8383,""1876,5"",""79,57"""
"22/12/2022,8415,""1877,8"",""77,68"""
"21/12/2022,8381,""1869,7"",""78,17"""
"20/12/2022,""8371,5"",""1840,6"",""75,92"""
"19/12/2022,""8490,5"",1859,""75,05"""
"16/12/2022,8537,""1846,1"",""74,19"""
"15/12/2022,8334,""1835,8"",""75,89"""
"14/12/2022,""8355,5"",""1826,2"",""77,14"""
"13/12/2022,8440,1826,""75,44"""
"12/12/2022,8342,""1815,8"",""72,96"""
"09/12/2022,""8216,5"",""1823,1"",""71,05"""
"08/12/2022,8198,""1809,7"",""71,3"""
"07/12/2022,""8035,5"",""1804,2"",""71,93"""
"06/12/2022,7966,""1795,3"",""74,21"""
"05/12/2022,8070,""1825,4"",""76,83"""
"02/12/2022,""7990,5"",""1825,4"",""79,86"""
"01/12/2022,7962,""1797,7"",""81,06"""
"30/11/2022,7996,""1800,2"",""80,48"""
"29/11/2022,""7900,5"",""1787,8"",""77,96"""
"28/11/2022,8047,""1818,7"",""77,1"""
"25/11/2022,8155,""1825,5"",""76,45"""
"24/11/2022,8315,""1792,3"","
"23/11/2022,8343,""1810,7"",""77,93"""
"22/11/2022,8346,""1801,5"",""80,83"""
"21/11/2022,8441,1798,""79,74"""
"18/11/2022,8065,""1782,4"",""80,07"""
"17/11/2022,8035,""1781,3"",""81,69"""
"16/11/2022,7974,""1809,6"",""85,62"""
"15/11/2022,""7954,5"",""1815,2"",""86,87"""
"14/11/2022,7905,""1759,9"",""85,85"""
"11/11/2022,7510,""1763,7"",""89,14"""
"10/11/2022,7705,""1740,3"",""86,52"""
"09/11/2022,7745,1754,""85,79"""
"08/11/2022,7525,1754,""88,8"""
"07/11/2022,""7663,5"",""1745,6"",""91,8"""
"04/11/2022,7777,""1739,9"",""92,58"""
"03/11/2022,""7762,5"",""1739,6"",""88,14"""
"02/11/2022,7536,""1754,4"",""90,06"""
"01/11/2022,7661,1763,""88,36"""
"31/10/2022,7545,""1775,8"",""86,54"""
"28/10/2022,""7585,5"",""1776,8"",""87,85"""
"27/10/2022,7420,""1776,9"",""89,06"""
"26/10/2022,7536,""1769,4"",""89,39"""
