Date;CopperSHMET
11/01/2019;47390
14/01/2019;47160
15/01/2019;47160
16/01/2019;47195
17/01/2019;47195
18/01/2019;47195
21/01/2019;47195
22/01/2019;47195
23/01/2019;47195
24/01/2019;47150
25/01/2019;47165
28/01/2019;47165
29/01/2019;47230
30/01/2019;47440
31/01/2019;47725
01/02/2019;47710
11/02/2019;48125
12/02/2019;48035
13/02/2019;47820
14/02/2019;47940
15/02/2019;48065
18/02/2019;48390
19/02/2019;48925
20/02/2019;49310
21/02/2019;49420
22/02/2019;49295
25/02/2019;49895
26/02/2019;49720
27/02/2019;49805
28/02/2019;49915
01/03/2019;49915
04/03/2019;49970
05/03/2019;50110
06/03/2019;49905
07/03/2019;49795
08/03/2019;49620
11/03/2019;49580
12/03/2019;49810
13/03/2019;49940
14/03/2019;49840
15/03/2019;49625
18/03/2019;50085
19/03/2019;50040
20/03/2019;50075
21/03/2019;50200
22/03/2019;49930
25/03/2019;49330
26/03/2019;49210
27/03/2019;49325
28/03/2019;49360
29/03/2019;49785
01/04/2019;49225
02/04/2019;49160
03/04/2019;49185
04/04/2019;49515
08/04/2019;49280
09/04/2019;49385
10/04/2019;49435
11/04/2019;49290
12/04/2019;49055
15/04/2019;49460
16/04/2019;49375
17/04/2019;49550
18/04/2019;49610
19/04/2019;49450
22/04/2019;49450
23/04/2019;49185
24/04/2019;49055
25/04/2019;49240
26/04/2019;48830
29/04/2019;48835
30/04/2019;48905
06/05/2019;47990
07/05/2019;48375
08/05/2019;47960
09/05/2019;47610
10/05/2019;47925
13/05/2019;47645
14/05/2019;47525
15/05/2019;47620
16/05/2019;47810
17/05/2019;47915
20/05/2019;47780
21/05/2019;47785
22/05/2019;47510
23/05/2019;46825
24/05/2019;47040
27/05/2019;47105
28/05/2019;47225
29/05/2019;47010
30/05/2019;46700
31/05/2019;46480
03/06/2019;46200
04/06/2019;46340
05/06/2019;46625
06/06/2019;46060
10/06/2019;46285
11/06/2019;46760
12/06/2019;46635
13/06/2019;46355
14/06/2019;46475
17/06/2019;46135
18/06/2019;46375
19/06/2019;46890
20/06/2019;46850
21/06/2019;46885
24/06/2019;46840
25/06/2019;46955
26/06/2019;47280
27/06/2019;47075
28/06/2019;47055
01/07/2019;47315
02/07/2019;46640
03/07/2019;46425
04/07/2019;46540
05/07/2019;46450
08/07/2019;46430
09/07/2019;46205
10/07/2019;45890
11/07/2019;46540
12/07/2019;46645
15/07/2019;46735
16/07/2019;46875
17/07/2019;46865
18/07/2019;46785
19/07/2019;47620
22/07/2019;47615
23/07/2019;47295
24/07/2019;46990
25/07/2019;47010
26/07/2019;46965
29/07/2019;46915
30/07/2019;47290
31/07/2019;46850
01/08/2019;46650
02/08/2019;46430
05/08/2019;45970
06/08/2019;46105
07/08/2019;46170
08/08/2019;46480
09/08/2019;46605
12/08/2019;46580
13/08/2019;46545
14/08/2019;46650
15/08/2019;46350
16/08/2019;46455
19/08/2019;46485
20/08/2019;46665
21/08/2019;46400
22/08/2019;46425
23/08/2019;46325
26/08/2019;46040
27/08/2019;46440
28/08/2019;46585
29/08/2019;46640
30/08/2019;46720
02/09/2019;46640
03/09/2019;46495
04/09/2019;46335
05/09/2019;47125
06/09/2019;47525
09/09/2019;47375
10/09/2019;47475
11/09/2019;47295
12/09/2019;47390
16/09/2019;47810
17/09/2019;47510
18/09/2019;47500
19/09/2019;47460
20/09/2019;47390
23/09/2019;47310
24/09/2019;47310
25/09/2019;47210
26/09/2019;47235
27/09/2019;46770
30/09/2019;47325
08/10/2019;47035
09/10/2019;46775
10/10/2019;46735
11/10/2019;47055
14/10/2019;47080
15/10/2019;46990
16/10/2019;46910
17/10/2019;46690
18/10/2019;46735
21/10/2019;47185
22/10/2019;47180
23/10/2019;47040
24/10/2019;47385
25/10/2019;47220
28/10/2019;47365
29/10/2019;47345
30/10/2019;47405
31/10/2019;47200
01/11/2019;46945
04/11/2019;47030
05/11/2019;47185
06/11/2019;47335
07/11/2019;47120
08/11/2019;47370
11/11/2019;47170
12/11/2019;47135
13/11/2019;47050
14/11/2019;47035
15/11/2019;46945
18/11/2019;47025
19/11/2019;46950
20/11/2019;47190
21/11/2019;47065
22/11/2019;46925
25/11/2019;47160
26/11/2019;47110
27/11/2019;47340
28/11/2019;47350
29/11/2019;47300
02/12/2019;47340
03/12/2019;47145
04/12/2019;47095
05/12/2019;47285
06/12/2019;47380
09/12/2019;48150
10/12/2019;48430
11/12/2019;48480
12/12/2019;48920
13/12/2019;48940
16/12/2019;48690
17/12/2019;49000
18/12/2019;49020
19/12/2019;48840
20/12/2019;49070
23/12/2019;48805
24/12/2019;48920
25/12/2019;49275
26/12/2019;49350
27/12/2019;49425
30/12/2019;49215
31/12/2019;49035
02/01/2020;49100
03/01/2020;48930
06/01/2020;48715
07/01/2020;48780
08/01/2020;48680
09/01/2020;48760
10/01/2020;48605
13/01/2020;48600
14/01/2020;48990
15/01/2020;49060
16/01/2020;48950
17/01/2020;48930
20/01/2020;48850
21/01/2020;48425
22/01/2020;48235
23/01/2020;47995
03/02/2020;44900
04/02/2020;44940
05/02/2020;45230
06/02/2020;45795
07/02/2020;45590
10/02/2020;45315
11/02/2020;45370
12/02/2020;45385
13/02/2020;45490
14/02/2020;45655
17/02/2020;45830
18/02/2020;45955
19/02/2020;45990
20/02/2020;46010
21/02/2020;45910
24/02/2020;45515
25/02/2020;45500
26/02/2020;45360
27/02/2020;45190
28/02/2020;44630
02/03/2020;44770
03/03/2020;45345
04/03/2020;45005
05/03/2020;45055
06/03/2020;44725
09/03/2020;43550
10/03/2020;44030
11/03/2020;44280
12/03/2020;43185
13/03/2020;42755
16/03/2020;43200
17/03/2020;42145
18/03/2020;41400
19/03/2020;37545
20/03/2020;38290
23/03/2020;36625
24/03/2020;37890
25/03/2020;38750
26/03/2020;38970
27/03/2020;38865
30/03/2020;38645
31/03/2020;39425
01/04/2020;39570
02/04/2020;39190
03/04/2020;39760
07/04/2020;40840
08/04/2020;40765
09/04/2020;40950
10/04/2020;40990
13/04/2020;41925
14/04/2020;41970
15/04/2020;41860
16/04/2020;41775
17/04/2020;42470
20/04/2020;42640
21/04/2020;42060
22/04/2020;40995
23/04/2020;41980
24/04/2020;42120
27/04/2020;42850
28/04/2020;42480
29/04/2020;42810
30/04/2020;43030
06/05/2020;42835
07/05/2020;43030
08/05/2020;43600
11/05/2020;44060
12/05/2020;43565
13/05/2020;43080
14/05/2020;43150
15/05/2020;43325
18/05/2020;43260
19/05/2020;43995
20/05/2020;44040
21/05/2020;44620
22/05/2020;43770
25/05/2020;43790
26/05/2020;44030
27/05/2020;44170
28/05/2020;44030
29/05/2020;44135
01/06/2020;44710
02/06/2020;44895
03/06/2020;45110
04/06/2020;44850
05/06/2020;44990
08/06/2020;45730
09/06/2020;46355
10/06/2020;46855
11/06/2020;47425
12/06/2020;46760
15/06/2020;46830
16/06/2020;47080
17/06/2020;46910
18/06/2020;47110
19/06/2020;47475
22/06/2020;47895
23/06/2020;47880
24/06/2020;48160
29/06/2020;48770
30/06/2020;48930
01/07/2020;49450
02/07/2020;49460
03/07/2020;49260
06/07/2020;49120
07/07/2020;49610
08/07/2020;49845
09/07/2020;50575
10/07/2020;50600
13/07/2020;52980
14/07/2020;52150
15/07/2020;52435
16/07/2020;51240
17/07/2020;51685
20/07/2020;51375
21/07/2020;51935
22/07/2020;52600
23/07/2020;51875
24/07/2020;51930
27/07/2020;51765
28/07/2020;51850
29/07/2020;51830
30/07/2020;51890
31/07/2020;51850
03/08/2020;50960
04/08/2020;51675
05/08/2020;51370
06/08/2020;51385
07/08/2020;51440
10/08/2020;50090
11/08/2020;50790
12/08/2020;49980
13/08/2020;50530
14/08/2020;50040
17/08/2020;50370
18/08/2020;51135
19/08/2020;52300
20/08/2020;52200
21/08/2020;52065
24/08/2020;51310
25/08/2020;51370
26/08/2020;51380
27/08/2020;51420
28/08/2020;51800
31/08/2020;52020
01/09/2020;52390
02/09/2020;51935
03/09/2020;52140
04/09/2020;51495
07/09/2020;52630
08/09/2020;52520
09/09/2020;52065
10/09/2020;52130
11/09/2020;51535
14/09/2020;52280
15/09/2020;52150
16/09/2020;51900
17/09/2020;51455
18/09/2020;52210
21/09/2020;52470
22/09/2020;51920
23/09/2020;51620
24/09/2020;50745
25/09/2020;50890
28/09/2020;50985
29/09/2020;51110
30/09/2020;51185
09/10/2020;51565
12/10/2020;51580
13/10/2020;51540
14/10/2020;51470
15/10/2020;51370
16/10/2020;51800
19/10/2020;51600
20/10/2020;51450
21/10/2020;52250
22/10/2020;52370
23/10/2020;52210
26/10/2020;51920
27/10/2020;51540
28/10/2020;51730
29/10/2020;51585
30/10/2020;51530
02/11/2020;51120
03/11/2020;51750
04/11/2020;51680
05/11/2020;51640
06/11/2020;51640
09/11/2020;52250
10/11/2020;52120
11/11/2020;51990
12/11/2020;51880
13/11/2020;52025
16/11/2020;53680
17/11/2020;53220
18/11/2020;52740
19/11/2020;52820
20/11/2020;53220
23/11/2020;54140
24/11/2020;54110
25/11/2020;54890
26/11/2020;55120
27/11/2020;55685
30/11/2020;57370
01/12/2020;57375
02/12/2020;57280
03/12/2020;57300
04/12/2020;57290
07/12/2020;57320
08/12/2020;57000
09/12/2020;57270
10/12/2020;57010
11/12/2020;58285
14/12/2020;57830
15/12/2020;57420
16/12/2020;57850
17/12/2020;58120
18/12/2020;59090
21/12/2020;58835
22/12/2020;58550
23/12/2020;57610
24/12/2020;58110
25/12/2020;58180
28/12/2020;58800
29/12/2020;58450
30/12/2020;58150
31/12/2020;57810
04/01/2021;58075
05/01/2021;58135
06/01/2021;59140
07/01/2021;59340
08/01/2021;60260
11/01/2021;59340
12/01/2021;58225
13/01/2021;58840
14/01/2021;58675
15/01/2021;59560
18/01/2021;58710
19/01/2021;59030
20/01/2021;59025
21/01/2021;59280
22/01/2021;58920
25/01/2021;59060
26/01/2021;58820
27/01/2021;58745
28/01/2021;57950
29/01/2021;58180
01/02/2021;57870
02/02/2021;57700
03/02/2021;57170
04/02/2021;57825
05/02/2021;58040
08/02/2021;58865
09/02/2021;59410
10/02/2021;60230
18/02/2021;62690
19/02/2021;63240
22/02/2021;67060
23/02/2021;67590
24/02/2021;67970
25/02/2021;69900
26/02/2021;68410
01/03/2021;67410
02/03/2021;66140
03/03/2021;67790
04/03/2021;67020
05/03/2021;64810
08/03/2021;66265
09/03/2021;66650
10/03/2021;65530
11/03/2021;65580
12/03/2021;66660
15/03/2021;67660
16/03/2021;67150
17/03/2021;66200
18/03/2021;67050
19/03/2021;66550
22/03/2021;66820
23/03/2021;66740
24/03/2021;66075
25/03/2021;65770
26/03/2021;65680
29/03/2021;66190
30/03/2021;66190
31/03/2021;65175
01/04/2021;65490
02/04/2021;66040
06/04/2021;67140
07/04/2021;66890
08/04/2021;66500
09/04/2021;66750
12/04/2021;65710
13/04/2021;65720
14/04/2021;66125
15/04/2021;67260
16/04/2021;68550
19/04/2021;68240
20/04/2021;68990
21/04/2021;68550
22/04/2021;68840
23/04/2021;69120
26/04/2021;70090
27/04/2021;71940
28/04/2021;70920
29/04/2021;72335
30/04/2021;71680
06/05/2021;72690
07/05/2021;74200
10/05/2021;76875
11/05/2021;75370
12/05/2021;76150
13/05/2021;75910
14/05/2021;74760
17/05/2021;74670
18/05/2021;75720
19/05/2021;74840
20/05/2021;72525
21/05/2021;71950
24/05/2021;71300
25/05/2021;72360
26/05/2021;71720
27/05/2021;71350
28/05/2021;73380
31/05/2021;73590
01/06/2021;73790
02/06/2021;73580
03/06/2021;72950
04/06/2021;71090
07/06/2021;71500
08/06/2021;71310
09/06/2021;71710
10/06/2021;71210
11/06/2021;70800
15/06/2021;69900
16/06/2021;69260
17/06/2021;69170
18/06/2021;67730
21/06/2021;66880
22/06/2021;67400
23/06/2021;68270
24/06/2021;68600
25/06/2021;68825
28/06/2021;68290
29/06/2021;68050
30/06/2021;68380
01/07/2021;68490
02/07/2021;68050
05/07/2021;68700
06/07/2021;69700
07/07/2021;68540
08/07/2021;68900
09/07/2021;68800
12/07/2021;69475
