Date;Price
03/08/2023;27550
04/08/2023;27925
07/08/2023;27850
08/08/2023;27550
09/08/2023;27080
10/08/2023;26775
11/08/2023;25775
14/08/2023;24975
15/08/2023;24600
16/08/2023;24730
17/08/2023;25000
22/08/2023;25900
23/08/2023;25635
24/08/2023;25750
25/08/2023;25265
29/08/2023;24800
30/08/2023;24950
31/08/2023;25000
01/09/2023;25600
04/09/2023;25560
05/09/2023;26400
06/09/2023;26100
07/09/2023;25725
08/09/2023;25335
11/09/2023;25550
12/09/2023;25205
13/09/2023;25200
15/09/2023;25600
18/09/2023;25550
20/09/2023;25800
21/09/2023;25650
22/09/2023;25325
25/09/2023;26100
26/09/2023;25625
27/09/2023;25550
28/09/2023;25355
02/10/2023;23900
03/10/2023;24050
04/10/2023;24000
05/10/2023;24050
06/10/2023;23965
09/10/2023;24700
10/10/2023;24500
11/10/2023;24650
12/10/2023;24900
13/10/2023;25025
16/10/2023;24725
17/10/2023;24880
18/10/2023;25450
19/10/2023;25075
20/10/2023;24405
23/10/2023;24555
24/10/2023;24835
25/10/2023;24925
27/10/2023;24875
30/10/2023;24825
31/10/2023;24550
01/11/2023;23550
02/11/2023;23795
03/11/2023;24150
06/11/2023;24300
07/11/2023;24275
08/11/2023;24550
09/11/2023;24640
10/11/2023;24275
13/11/2023;24750
14/11/2023;24600
15/11/2023;25100
16/11/2023;25050
17/11/2023;25000
20/11/2023;24700
21/11/2023;24750
24/11/2023;24050
27/11/2023;23550
28/11/2023;22975
29/11/2023;23120
30/11/2023;22910
01/12/2023;23250
04/12/2023;23625
05/12/2023;23750
06/12/2023;24450
07/12/2023;24400
08/12/2023;24550
11/12/2023;24260
12/12/2023;24560
13/12/2023;24555
14/12/2023;25050
15/12/2023;25225
18/12/2023;24800
19/12/2023;24750
20/12/2023;24875
21/12/2023;24775
22/12/2023;25035
27/12/2023;25075
28/12/2023;25360
29/12/2023;25175
02/01/2024;25150
03/01/2024;25050
04/01/2024;24925
05/01/2024;24200
08/01/2024;24400
09/01/2024;24300
10/01/2024;24025
11/01/2024;24300
12/01/2024;24350
15/01/2024;24550
16/01/2024;24500
17/01/2024;25025
18/01/2024;25200
19/01/2024;25550
22/01/2024;25375
23/01/2024;26000
24/01/2024;26350
25/01/2024;26450
26/01/2024;26550
29/01/2024;26350
30/01/2024;26050
31/01/2024;26000
01/02/2024;25700
02/02/2024;25475
05/02/2024;24780
06/02/2024;25075
07/02/2024;25150
08/02/2024;25600
09/02/2024;25980
12/02/2024;26650
13/02/2024;27500
14/02/2024;27265
15/02/2024;27275
16/02/2024;26950
19/02/2024;26405
20/02/2024;26250
21/02/2024;26310
22/02/2024;25975
23/02/2024;26300
26/02/2024;26100
27/02/2024;26075
28/02/2024;26100
29/02/2024;26375
01/03/2024;26150
04/03/2024;26600
05/03/2024;26500
06/03/2024;27050
07/03/2024;27550
08/03/2024;27485
11/03/2024;27450
12/03/2024;27600
13/03/2024;27625
14/03/2024;28055
15/03/2024;28410
18/03/2024;28550
19/03/2024;27805
20/03/2024;26900
21/03/2024;27700
22/03/2024;27550
25/03/2024;27525
26/03/2024;27410
27/03/2024;27355
28/03/2024;27650
02/04/2024;27845
03/04/2024;28025
04/04/2024;28450
05/04/2024;28705
08/04/2024;29395
09/04/2024;30565
10/04/2024;32925
11/04/2024;31850
12/04/2024;32975
15/04/2024;32950
16/04/2024;32200
17/04/2024;32640
18/04/2024;34025
19/04/2024;35685
22/04/2024;35250
23/04/2024;32600
24/04/2024;32085
25/04/2024;32450
26/04/2024;33125
29/04/2024;32675
30/04/2024;32300
01/05/2024;31150
02/05/2024;31375
03/05/2024;32050
07/05/2024;
08/05/2024;32650
09/05/2024;32400
10/05/2024;32895
13/05/2024;32675
14/05/2024;33300
15/05/2024;34100
16/05/2024;33625
17/05/2024;34190
20/05/2024;34575
21/05/2024;34105
22/05/2024;33350
23/05/2024;33125
24/05/2024;33725
