DATElme;Official Ask LME
06/09/2018;5940
07/09/2018;5883
10/09/2018;5840,5
11/09/2018;5849
12/09/2018;5891
13/09/2018;5991
14/09/2018;5946,5
17/09/2018;5860
18/09/2018;6003
19/09/2018;6057
20/09/2018;6057
21/09/2018;6203
24/09/2018;6320
25/09/2018;6276
26/09/2018;6257,5
27/09/2018;6222
28/09/2018;6180
01/10/2018;6172
02/10/2018;6274
03/10/2018;6275
04/10/2018;6310
05/10/2018;6182,5
08/10/2018;6169
09/10/2018;6219
10/10/2018;6294
11/10/2018;6155
12/10/2018;6325
15/10/2018;6296
16/10/2018;6202
17/10/2018;6249
18/10/2018;6147
19/10/2018;6191,5
22/10/2018;6284
23/10/2018;6167,5
24/10/2018;6215
25/10/2018;6210
26/10/2018;6159
29/10/2018;6260
30/10/2018;6136
31/10/2018;6073
01/11/2018;6070
02/11/2018;6255
05/11/2018;6239
06/11/2018;6205
07/11/2018;6210
08/11/2018;6137
09/11/2018;6088
12/11/2018;6083,5
13/11/2018;6130
14/11/2018;6106
15/11/2018;6188
16/11/2018;6181
19/11/2018;6260
20/11/2018;6262
21/11/2018;6242
22/11/2018;6246
23/11/2018;6210
26/11/2018;6246
27/11/2018;6169,5
28/11/2018;6198
29/11/2018;6282
30/11/2018;6238
03/12/2018;6307
04/12/2018;6278
05/12/2018;6162
06/12/2018;6112
07/12/2018;6173
10/12/2018;6112
11/12/2018;6163
12/12/2018;6151
13/12/2018;6196
14/12/2018;6104
17/12/2018;6095,5
18/12/2018;6043
19/12/2018;5987
20/12/2018;6015
21/12/2018;5987
24/12/2018;5931,5
27/12/2018;5990
28/12/2018;6018
31/12/2018;5965
02/01/2019;5839
03/01/2019;5811
04/01/2019;5840
07/01/2019;5889,5
08/01/2019;5904,5
09/01/2019;5964
10/01/2019;5908,5
11/01/2019;5926,5
14/01/2019;5861
15/01/2019;5882
16/01/2019;5911
17/01/2019;5933
18/01/2019;6022
21/01/2019;5951,5
22/01/2019;5926,5
23/01/2019;5920,5
24/01/2019;5885
25/01/2019;5901
28/01/2019;5996
29/01/2019;6007
30/01/2019;6077
31/01/2019;6148
01/02/2019;6097,5
04/02/2019;6076,5
05/02/2019;6174
06/02/2019;6210
07/02/2019;6227
08/02/2019;6207
11/02/2019;6148
12/02/2019;6102
13/02/2019;6120
14/02/2019;6178,5
15/02/2019;6190
18/02/2019;6269,5
19/02/2019;6246,5
20/02/2019;6351,5
21/02/2019;6391
22/02/2019;6489
25/02/2019;6546
26/02/2019;6471
27/02/2019;6533
28/02/2019;6536
01/03/2019;6572
04/03/2019;6420
05/03/2019;6553,5
06/03/2019;6505
07/03/2019;6458
08/03/2019;6398,5
11/03/2019;6435
12/03/2019;6510
13/03/2019;6529
14/03/2019;6409
15/03/2019;6410
18/03/2019;6492
19/03/2019;6500
20/03/2019;6487
21/03/2019;6520
22/03/2019;6375
25/03/2019;6328
26/03/2019;6361
27/03/2019;6338,5
28/03/2019;6385
29/03/2019;6485
01/04/2019;6498
02/04/2019;6431
03/04/2019;6483
04/04/2019;6444
05/04/2019;6419
08/04/2019;6432,5
09/04/2019;6498
10/04/2019;6447
11/04/2019;6432,5
12/04/2019;6490
15/04/2019;6456
16/04/2019;6460
17/04/2019;6509
18/04/2019;6448
23/04/2019;6430
24/04/2019;6437,5
25/04/2019;6375,5
26/04/2019;6393
29/04/2019;6376
30/04/2019;6442
01/05/2019;6398
02/05/2019;6214
03/05/2019;6180
07/05/2019;6174
08/05/2019;6103
09/05/2019;6112
10/05/2019;6135,5
13/05/2019;6042,5
14/05/2019;6007
15/05/2019;6002
16/05/2019;6089
17/05/2019;6025
20/05/2019;5985
21/05/2019;6004
22/05/2019;5920
23/05/2019;5860
24/05/2019;5919
28/05/2019;5956,5
29/05/2019;5864,5
30/05/2019;5823
31/05/2019;5780,5
03/06/2019;5796
04/06/2019;5804
05/06/2019;5832,5
06/06/2019;5805
07/06/2019;5770
10/06/2019;5788
11/06/2019;5905
12/06/2019;5828,5
13/06/2019;5797,5
14/06/2019;5805,5
17/06/2019;5756
18/06/2019;5848,5
19/06/2019;5895
20/06/2019;5962
21/06/2019;5941
24/06/2019;5917
25/06/2019;5985,5
26/06/2019;6006
27/06/2019;5953,5
28/06/2019;5972
01/07/2019;5999
02/07/2019;5910
03/07/2019;5874
04/07/2019;5900
05/07/2019;5857
08/07/2019;5912
09/07/2019;5805
10/07/2019;5862,5
11/07/2019;5925
12/07/2019;5950
15/07/2019;5997,5
16/07/2019;5959
17/07/2019;5922
18/07/2019;5948
19/07/2019;6066
22/07/2019;6007,5
23/07/2019;5968,5
24/07/2019;5980
25/07/2019;6010
26/07/2019;5945
29/07/2019;5949,5
30/07/2019;5943
31/07/2019;5926
01/08/2019;5876
02/08/2019;5769
05/08/2019;5647
06/08/2019;5667
07/08/2019;5673,5
08/08/2019;5723
09/08/2019;5744
12/08/2019;5724,5
13/08/2019;5697
14/08/2019;5732
15/08/2019;5696,5
16/08/2019;5710
19/08/2019;5755,5
20/08/2019;5698
21/08/2019;5696,5
22/08/2019;5668
23/08/2019;5675
27/08/2019;5662
28/08/2019;5653
29/08/2019;5722
30/08/2019;5678
02/09/2019;5610,5
03/09/2019;5537
04/09/2019;5663
05/09/2019;5777
06/09/2019;5787,5
09/09/2019;5771
10/09/2019;5738
11/09/2019;5765
12/09/2019;5842,5
13/09/2019;5870
16/09/2019;5877
17/09/2019;5762
18/09/2019;5745
19/09/2019;5758,5
20/09/2019;5777,5
23/09/2019;5695
24/09/2019;5761
25/09/2019;5718,5
26/09/2019;5757
27/09/2019;5714
30/09/2019;5728
01/10/2019;5610
