"Date","Price","Open","High","Low","Vol.","Change %","Change.."
"04/19/2021",19.813,19.914,19.9405,19.7922,NA,NA,"-0.51%"
"04/16/2021",19.915,19.94,19.9954,19.889,NA,NA,"-0.10%"
"04/15/2021",19.934,20.073,20.0999,19.8996,NA,NA,"-0.63%"
"04/14/2021",20.061,20.0849,20.1322,20.0103,NA,NA,"-0.12%"
"04/13/2021",20.0843,20.1405,20.2425,20.0417,NA,NA,"-0.22%"
"04/12/2021",20.128,20.1642,20.2234,20.0697,NA,NA,"-0.09%"
"04/09/2021",20.146,20.1025,20.2289,20.0684,NA,NA,"0.30%"
"04/08/2021",20.086,20.1985,20.2307,20.0636,NA,NA,"-0.59%"
"04/07/2021",20.2054,20.1595,20.2565,20.1423,NA,NA,"0.20%"
"04/06/2021",20.1656,20.312,20.3871,20.1395,NA,NA,"-0.66%"
"04/05/2021",20.3,20.289,20.3843,20.2285,NA,NA,"0.02%"
"04/02/2021",20.295,20.297,20.3515,20.2665,NA,NA,"0.10%"
"04/01/2021",20.275,20.439,20.498,20.2686,NA,NA,"-0.72%"
"03/31/2021",20.422,20.5875,20.6365,20.4032,NA,NA,"-0.72%"
"03/30/2021",20.57,20.6087,20.7089,20.5424,NA,NA,"-0.18%"
"03/29/2021",20.6081,20.6375,20.7903,20.5604,NA,NA,"0.14%"
"03/26/2021",20.58,20.684,20.7362,20.537,NA,NA,"-0.46%"
"03/25/2021",20.675,20.938,20.9466,20.5825,NA,NA,"-1.18%"
"03/24/2021",20.921,20.8485,20.9743,20.6634,NA,NA,"0.43%"
"03/23/2021",20.831,20.5725,20.8647,20.5307,NA,NA,"1.34%"
"03/22/2021",20.555,20.7825,20.8433,20.5296,NA,NA,"0.30%"
"03/19/2021",20.494,20.4855,20.5519,20.286,NA,NA,"0.11%"
"03/18/2021",20.471,20.4,20.5969,20.2803,NA,NA,"0.41%"
"03/17/2021",20.388,20.622,20.8148,20.3111,NA,NA,"-1.13%"
"03/16/2021",20.6213,20.6485,20.7337,20.5222,NA,NA,"-0.05%"
"03/15/2021",20.631,20.7205,20.8293,20.6266,NA,NA,"-0.45%"
"03/12/2021",20.725,20.608,20.9344,20.5896,NA,NA,"0.62%"
"03/11/2021",20.598,20.8855,20.9268,20.5798,NA,NA,"-1.31%"
