"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","3.3289","3.3503","3.3791","3.3282","","-0.63%"
"08/31/2023","3.3499","3.3770","3.3956","3.3486","","-0.76%"
"08/30/2023","3.3755","3.3819","3.3999","3.3603","","-0.13%"
"08/29/2023","3.3800","3.3424","3.3892","3.3375","","1.12%"
"08/28/2023","3.3425","3.3383","3.3814","3.3365","","0.16%"
"08/25/2023","3.3372","3.3411","3.3825","3.3273","","-0.08%"
"08/24/2023","3.3400","3.3433","3.3814","3.3389","","-0.04%"
"08/23/2023","3.3412","3.3786","3.3814","3.3377","","-1.02%"
"08/22/2023","3.3758","3.3837","3.3894","3.3409","","-0.17%"
"08/21/2023","3.3814","3.3621","3.3891","3.3449","","0.70%"
"08/18/2023","3.3579","3.3602","3.3809","3.3415","","-0.04%"
"08/17/2023","3.3591","3.3574","3.3837","3.3433","","0.14%"
"08/16/2023","3.3545","3.3710","3.3886","3.3461","","-0.44%"
"08/15/2023","3.3693","3.3802","3.3909","3.3468","","0.07%"
"08/14/2023","3.3669","3.3610","3.3919","3.3436","","0.29%"
"08/11/2023","3.3570","3.3883","3.4007","3.3503","","-0.59%"
"08/10/2023","3.3770","3.3921","3.4196","3.3558","","-0.40%"
"08/09/2023","3.3907","3.3519","3.3984","3.3505","","1.20%"
"08/08/2023","3.3505","3.4006","3.4172","3.3493","","-1.46%"
"08/07/2023","3.4002","3.3711","3.4032","3.3442","","1.31%"
"08/04/2023","3.3561","3.3812","3.3995","3.3502","","-0.61%"
"08/03/2023","3.3768","3.3741","3.3889","3.3442","","0.14%"
"08/02/2023","3.3722","3.3879","3.3990","3.3425","","-0.41%"
"08/01/2023","3.3862","3.3868","3.4007","3.3518","","0.01%"
"07/31/2023","3.3857","3.4069","3.4248","3.3798","","-0.14%"
"07/28/2023","3.3904","3.3949","3.4136","3.3466","","0.02%"
"07/27/2023","3.3896","3.4248","3.4463","3.3911","","-1.02%"
"07/26/2023","3.4246","3.4088","3.4337","3.3589","","0.58%"
"07/25/2023","3.4049","3.3590","3.4269","3.3582","","1.51%"
"07/24/2023","3.3542","3.3812","3.4090","3.3516","","-0.99%"
"07/21/2023","3.3876","3.4013","3.4135","3.3661","","-0.31%"
"07/20/2023","3.3983","3.4067","3.4174","3.3712","","-0.20%"
"07/19/2023","3.4051","3.4072","3.4179","3.3811","","-0.01%"
"07/18/2023","3.4055","3.4074","3.4218","3.3756","","-0.04%"
