Date,Price,Open,High,Low,Vol.,Change..
2019-09-05,27.0664,27.0816,27.2984,26.899,92.01K,-0.02%
2019-09-06,27.0702,27.0798,27.2003,27.0419,85.11K,0.01%
2019-09-09,27.113,27.118,27.2529,27.0186,68.84K,0.16%
2019-09-10,27.0774,27.1179,27.2492,27.0455,73.65K,-0.13%
2019-09-11,27.0205,27.1339,27.2605,26.9529,75.81K,-0.21%
2019-09-12,27.1583,27.0287,27.2787,26.8213,90.42K,0.51%
2019-09-13,27.2086,27.2155,27.3797,27.1959,82.32K,0.19%
2019-09-16,27.0262,27.2985,27.3419,26.9267,76.96K,-0.67%
2019-09-17,27.2024,27.0706,27.3174,27.0189,78.92K,0.65%
2019-09-18,27.0931,27.2512,27.3958,27.1017,68.98K,-0.40%
2019-09-19,27.1496,27.1423,27.3528,27.1136,69.55K,0.21%
2019-09-20,27.0715,27.2097,27.3384,27.0135,66.83K,-0.29%
2019-09-23,27.0159,27.1118,27.1933,26.9875,63.60K,-0.21%
2019-09-24,27.1032,27.0617,27.2838,27.0287,68.15K,0.32%
2019-09-25,26.8832,27.1632,27.198,26.8948,72.24K,-0.81%
2019-09-26,26.8381,26.9301,27.0737,26.848,79.33K,-0.17%
2019-09-27,26.8799,26.8792,27.0388,26.8386,72.84K,0.16%
2019-09-30,26.7834,26.9715,27.0509,26.7767,61.29K,-0.36%
2019-10-01,26.862,26.8284,27.0791,26.7755,67.00K,0.29%
2019-10-02,26.9307,26.9084,27.1315,26.837,60.34K,0.26%
2019-10-03,26.9455,26.9736,27.1506,26.928,75.68K,0.05%
2019-10-04,26.9749,26.9846,27.2022,26.9452,77.95K,0.11%
2019-10-07,26.9602,27.0154,27.24,26.9514,65.17K,-0.05%
2019-10-08,26.8653,27.003,27.2421,26.8782,79.96K,-0.35%
2019-10-09,26.9611,26.9396,27.2405,26.9273,75.87K,0.36%
2019-10-10,27.0488,27.0047,27.3565,26.9888,92.43K,0.33%
2019-10-11,27.1361,27.0917,27.4244,27.0782,94.69K,0.32%
2019-10-14,27.1091,27.2125,27.2272,27.1071,71.13K,-0.10%
2019-10-15,27.1131,27.1479,27.3368,27.0398,88.96K,0.01%
2019-10-16,27.2252,27.156,27.3864,27.1117,87.89K,0.41%
2019-10-17,27.3506,27.2613,27.5493,27.2428,86.78K,0.46%
2019-10-18,27.4757,27.3906,27.6575,27.3563,72.16K,0.46%
2019-10-21,27.4241,27.4687,27.671,27.4049,73.87K,-0.19%
2019-10-22,27.3667,27.4569,27.5919,27.3619,79.86K,-0.21%
2019-10-23,27.3996,27.3962,27.569,27.3256,79.48K,0.12%
2019-10-24,27.4837,27.4602,27.6575,27.3115,77.96K,0.31%
2019-10-25,27.2751,27.4825,27.5396,27.2654,67.46K,-0.76%
2019-10-28,27.3244,27.3405,27.5131,27.285,49.71K,0.18%
2019-10-29,27.3495,27.3824,27.5667,27.277,56.67K,0.09%
2019-10-30,27.414,27.41,27.5935,27.3221,71.42K,0.24%
2019-10-31,27.4379,27.4772,27.6418,27.4051,84.79K,0.09%
2019-11-01,27.4748,27.4986,27.6,27.4382,67.61K,0.13%
2019-11-04,27.3811,27.5245,27.6252,27.3866,66.82K,-0.34%
2019-11-05,27.216,27.4417,27.521,27.1959,83.30K,-0.60%
2019-11-06,27.1939,27.2592,27.4429,27.2131,78.13K,-0.08%
2019-11-07,27.1666,27.2395,27.4185,27.1437,88.98K,-0.10%
2019-11-08,27.0921,27.2061,27.3274,27.0767,59.09K,-0.27%
2019-11-11,27.1275,27.1355,27.3178,27.0939,48.34K,0.13%
2019-11-12,27.0685,27.1619,27.2935,27.0473,62.45K,-0.22%
2019-11-13,27.0869,27.1066,27.2162,27.0692,66.08K,0.07%
2019-11-14,27.1022,27.1419,27.2904,26.964,69.50K,0.06%
2019-11-15,27.1674,27.1394,27.3838,27.1049,68.30K,0.24%
2019-11-18,27.2195,27.2554,27.418,27.1726,65.45K,0.19%
2019-11-19,27.225,27.2584,27.4503,27.2057,68.48K,0.02%
2019-11-20,27.2151,27.2661,27.4088,27.1738,76.59K,-0.04%
2019-11-21,27.1837,27.2587,27.4266,27.1854,71.91K,-0.12%
2019-11-22,27.1032,27.2246,27.3976,27.1147,66.28K,-0.30%
2019-11-25,27.0876,27.1841,27.3043,27.046,58.39K,-0.06%
2019-11-26,27.0934,27.1197,27.306,27.0595,62.09K,0.02%
2019-11-27,27.0442,27.1313,27.281,27.0165,63.00K,-0.18%
2019-11-28,27.0759,27.0784,27.1606,27.0784,61.41K,0.12%
2019-11-29,27.098,27.1078,27.3045,27.003,58.06K,0.08%
2019-12-02,27.2413,27.1225,27.4503,27.0858,63.15K,0.53%
2019-12-03,27.2403,27.278,27.4643,27.2069,68.42K,0.00%
2019-12-04,27.2323,27.2787,27.4515,27.2033,66.49K,-0.03%
2019-12-05,27.3083,27.2747,27.5777,27.1945,55.01K,0.28%
2019-12-06,27.1983,27.3374,27.5857,27.135,47.99K,-0.40%
2019-12-09,27.2115,27.2383,27.4205,27.1904,43.52K,0.05%
2019-12-10,27.2773,27.2434,27.4244,27.2241,60.87K,0.24%
2019-12-11,27.3712,27.3095,27.5546,27.2542,63.97K,0.34%
2019-12-12,27.3749,27.4058,27.6263,27.3158,68.82K,0.01%
2019-12-13,27.351,27.4064,27.7901,27.3201,82.05K,-0.09%
2019-12-16,27.4088,27.4247,27.7166,27.3549,55.46K,0.21%
2019-12-17,27.435,27.4394,27.7509,27.3859,59.15K,0.10%
2019-12-18,27.3364,27.4611,27.6815,27.322,55.46K,-0.36%
2019-12-19,27.3595,27.3675,27.591,27.3127,54.44K,0.08%
2019-12-20,27.2594,27.3901,27.6197,27.2076,50.41K,-0.37%
2019-12-23,27.2791,27.3435,27.4757,27.1817,48.88K,0.07%
2019-12-24,27.2816,27.3104,27.55,27.226,57.18K,0.01%
2019-12-25,27.2865,27.3104,27.3787,27.271,17.96K,0.02%
2019-12-26,27.3037,27.3153,27.5491,27.25,31.72K,0.06%
2019-12-27,27.4827,27.3289,27.6908,27.3265,52.30K,0.66%
2019-12-30,27.5359,27.5598,27.767,27.5198,52.18K,0.19%
2019-12-31,27.5679,27.5707,27.8801,27.5678,44.17K,0.12%
2020-01-01,27.5679,27.6064,27.6521,27.5879,1.51K,0.00%
2020-01-02,27.4671,27.6052,27.715,27.4602,45.15K,-0.37%
2020-01-03,27.4208,27.503,27.7349,27.3563,57.27K,-0.17%
2020-01-06,27.5342,27.5492,27.8265,27.4553,59.69K,0.41%
2020-01-07,27.4238,27.5625,27.6745,27.3839,71.28K,-0.40%
2020-01-08,27.3151,27.458,27.6887,27.3139,88.64K,-0.40%
2020-01-09,27.321,27.3457,27.6197,27.2801,72.31K,0.02%
2020-01-10,27.3599,27.3486,27.6951,27.2647,64.37K,0.14%
2020-01-13,27.3933,27.3977,27.7498,27.3656,65.89K,0.12%
2020-01-14,27.3785,27.423,27.715,27.3176,76.50K,-0.05%
2020-01-15,27.4319,27.4082,27.7104,27.3643,74.60K,0.20%
2020-01-16,27.3966,27.462,27.7421,27.3969,65.25K,-0.13%
2020-01-17,27.2805,27.4259,27.4795,27.3001,52.67K,-0.42%
2020-01-20,27.2949,27.3817,27.3978,27.2766,49.62K,0.05%
2020-01-21,27.2654,27.3232,27.4337,27.2875,61.12K,-0.11%
2020-01-22,27.289,27.2962,27.5952,27.2309,62.27K,0.09%
2020-01-23,27.1939,27.3179,27.576,27.1621,52.32K,-0.35%
2020-01-24,27.1441,27.2246,27.4842,27.1043,57.24K,-0.18%
2020-01-27,27.1102,27.1943,27.4189,27.0847,67.56K,-0.12%
2020-01-28,27.1144,27.1373,27.4112,27.0478,64.43K,0.02%
2020-01-29,27.0858,27.1443,27.436,27.0391,67.83K,-0.11%
2020-01-30,27.1359,27.114,27.4207,27.0834,73.18K,0.18%
2020-01-31,27.3121,27.1674,27.5881,27.1215,70.41K,0.65%
2020-02-03,27.2048,27.3651,27.375,27.1694,64.43K,-0.39%
2020-02-04,27.1687,27.2351,27.5107,27.1399,72.53K,-0.13%
2020-02-05,27.0571,27.1973,27.4265,27.0354,73.22K,-0.41%
2020-02-06,27.0168,27.0885,27.3515,26.9801,73.71K,-0.15%
2020-02-07,26.9285,27.0487,27.2686,26.9156,69.96K,-0.33%
2020-02-10,26.8504,27.0238,27.2302,26.8319,76.43K,-0.29%
2020-02-11,26.8627,26.8742,27.1598,26.8079,74.13K,0.05%
2020-02-12,26.7582,26.8878,27.1365,26.7269,72.23K,-0.39%
2020-02-13,26.6913,26.785,27.0501,26.6536,74.93K,-0.25%
2020-02-14,26.663,26.748,27.0162,26.642,72.69K,-0.11%
2020-02-17,26.6768,26.7399,26.969,26.6684,58.21K,0.05%
2020-02-18,26.5728,26.7012,26.9403,26.5373,79.96K,-0.39%
2020-02-19,26.6063,26.5875,26.8705,26.5196,80.32K,0.13%
2020-02-20,26.5658,26.624,26.8832,26.525,80.42K,-0.15%
2020-02-21,26.7095,26.6271,26.9529,26.5362,73.57K,0.54%
2020-02-24,26.7354,26.7762,26.8608,26.6137,81.17K,0.10%
2020-02-25,26.8047,26.7477,27.0347,26.657,96.70K,0.26%
2020-02-26,26.8078,26.8157,27.1008,26.7178,97.72K,0.01%
2020-02-27,27.1027,26.8246,27.3063,26.8111,97.22K,1.10%
2020-02-28,27.1215,27.1138,27.4254,27.0095,103.54K,0.07%
2020-03-02,27.4409,27.2071,27.8515,27.1767,113.33K,1.18%
2020-03-03,27.54,27.4499,27.7817,27.3479,112.68K,0.36%
2020-03-04,27.45,27.5463,27.7708,27.3115,100.47K,-0.33%
2020-03-05,27.7104,27.4582,27.7719,27.4162,97.28K,0.95%
2020-03-06,27.8303,27.7178,28.2241,27.6464,121.90K,0.43%
2020-03-09,28.2356,27.8581,28.4004,27.8384,141.50K,1.46%
2020-03-10,27.8201,28.2409,28.3445,27.8092,131.38K,-1.47%
2020-03-11,27.7846,27.8321,28.0857,27.75,137.43K,-0.13%
2020-03-12,27.5829,27.8007,28.0187,27.2754,142.25K,-0.73%
2020-03-13,27.3923,27.5962,27.7533,27.2738,151.13K,-0.69%
2020-03-16,27.527,27.4177,27.8536,27.32,140.36K,0.49%
2020-03-17,27.1177,27.5257,27.6907,27.0221,136.25K,-1.49%
2020-03-18,26.7696,27.1304,27.2863,26.7024,142.66K,-1.28%
2020-03-19,26.3947,26.9164,27.1486,26.3249,154.15K,-1.40%
2020-03-20,26.3864,26.4531,26.8484,26.2805,157.44K,-0.03%
2020-03-23,26.4723,26.4448,26.7619,26.2792,142.16K,0.33%
2020-03-24,26.536,26.5371,26.9416,26.5086,140.59K,0.24%
2020-03-25,26.7104,26.6434,26.9579,26.5753,141.91K,0.66%
2020-03-26,27.1399,26.8543,27.4968,26.833,135.74K,1.61%
2020-03-27,27.5102,27.2551,27.5959,27.0696,137.12K,1.36%
2020-03-30,27.283,27.5573,27.7032,27.1657,120.29K,-0.83%
2020-03-31,27.2626,27.3346,27.3568,27.0163,132.05K,-0.07%
2020-04-01,27.0904,27.3227,27.345,26.9536,127.82K,-0.63%
2020-04-02,26.8306,27.1502,27.1637,26.7786,131.84K,-0.96%
2020-04-03,26.7368,26.8899,27.0662,26.6227,114.68K,-0.35%
2020-04-06,26.4595,26.8045,26.859,26.5966,115.28K,-1.04%
2020-04-07,26.8087,26.6425,27.2763,26.6152,140.13K,1.32%
2020-04-08,26.8849,26.9607,27.2679,26.8408,128.11K,0.28%
2020-04-09,27.0585,26.9417,27.3084,26.8711,116.30K,0.65%
2020-04-10,27.0912,27.1206,27.1918,27.0921,62.12K,0.12%
2020-04-13,27.0367,27.1632,27.3662,26.9391,62.19K,-0.20%
2020-04-14,27.2136,27.0986,27.2943,27.0279,110.49K,0.65%
2020-04-15,27.0275,27.2735,27.3902,26.9139,111.33K,-0.68%
2020-04-16,26.7408,27.0908,27.2426,26.8029,128.73K,-1.06%
2020-04-17,26.9452,26.8654,27.2313,26.7803,129.19K,0.76%
2020-04-20,26.9334,27.0057,27.2528,26.8425,114.33K,-0.04%
2020-04-21,26.8143,26.9877,27.2124,26.798,121.53K,-0.44%
2020-04-22,26.8169,26.9471,27.2721,26.7024,115.01K,0.01%
2020-04-23,26.509,26.8748,27.0865,26.635,121.07K,-1.15%
2020-04-24,26.7362,26.6917,27.0254,26.5916,119.66K,0.86%
2020-04-27,26.8218,26.8396,27.1683,26.8077,113.95K,0.32%
2020-04-28,26.7971,26.8684,27.2449,26.772,133.57K,-0.09%
2020-04-29,26.9329,26.8437,27.2183,26.8149,132.11K,0.51%
2020-04-30,27.1355,26.9736,27.3525,26.8676,122.83K,0.75%
2020-05-01,27.2082,27.1819,27.5299,27.122,92.30K,0.27%
2020-05-04,27.0142,27.2668,27.4331,27.007,88.24K,-0.71%
2020-05-05,26.8806,27.0603,27.291,26.803,100.96K,-0.49%
2020-05-06,26.5424,26.9471,27.1514,26.6985,106.09K,-1.26%
2020-05-07,26.8677,26.7338,27.1278,26.6368,109.27K,1.23%
2020-05-08,26.881,26.9244,27.2607,26.7039,105.07K,0.05%
2020-05-11,26.7813,26.9303,27.1619,26.7574,97.35K,-0.37%
2020-05-12,26.833,26.8196,27.1954,26.7625,125.49K,0.19%
2020-05-13,26.6074,26.9302,27.2819,26.7668,120.01K,-0.84%
2020-05-14,26.7507,26.7974,27.1032,26.6978,115.63K,0.54%
2020-05-15,26.7131,26.8396,27.1478,26.7959,98.50K,-0.14%
2020-05-18,27.0395,26.8766,27.1527,26.8267,90.62K,1.22%
2020-05-19,27.0972,27.0816,27.2446,26.8528,112.52K,0.21%
2020-05-20,27.2031,27.1692,27.3211,27.1431,118.75K,0.39%
2020-05-21,27.1337,27.2467,27.5525,27.119,110.15K,-0.26%
2020-05-22,27.0098,27.1722,27.3729,26.9901,119.46K,-0.46%
2020-05-25,27.0098,27.0959,27.1134,26.9749,65.68K,0.00%
2020-05-26,27.2359,27.0481,27.4846,27.0283,101.11K,0.84%
2020-05-27,27.272,27.2983,27.5846,27.1325,124.93K,0.13%
2020-05-28,27.453,27.3109,27.75,27.2658,122.91K,0.66%
2020-05-29,27.5072,27.4921,27.68,27.4715,120.99K,0.20%
2020-06-01,27.596,27.5814,27.9086,27.5385,104.79K,0.32%
2020-06-02,27.6827,27.6394,27.9884,27.5836,130.01K,0.31%
2020-06-03,27.8388,27.7263,28.1119,27.7083,137.84K,0.56%
2020-06-04,28.0834,27.8801,28.4327,27.7605,125.24K,0.88%
2020-06-05,27.9545,28.1304,28.416,27.9587,120.00K,-0.46%
2020-06-08,27.9689,28.0227,28.2682,27.9314,92.94K,0.05%
2020-06-09,28.0725,28.0272,28.3281,27.8871,120.71K,0.37%
2020-06-10,28.1517,28.1348,28.5201,28.0865,122.11K,0.28%
2020-06-11,27.9734,28.213,28.4713,27.9997,145.03K,-0.63%
2020-06-12,27.8529,28.0282,28.3333,27.8053,120.20K,-0.43%
2020-06-15,28.0116,27.9338,28.2355,27.8302,128.21K,0.57%
2020-06-16,27.8632,28.0746,28.3058,27.8391,121.73K,-0.53%
2020-06-17,27.797,27.9296,28.1687,27.7677,138.36K,-0.24%
2020-06-18,27.6353,27.8704,27.9187,27.6932,126.73K,-0.58%
2020-06-19,27.5993,27.7517,27.8977,27.663,123.56K,-0.13%
2020-06-22,27.8151,27.7153,27.9229,27.5807,109.71K,0.78%
