"Date","Price","Open","High","Low","Vol.","Change %"
"02/15/2024","26.5290","26.4732","26.6982","26.4670","","0.41%"
"02/14/2024","26.4195","26.4289","26.5851","26.3825","","0.19%"
"02/13/2024","26.3692","26.6259","26.7272","26.3555","","-0.97%"
"02/12/2024","26.6284","26.6106","26.7269","26.5120","","0.29%"
"02/09/2024","26.5518","26.5972","26.7303","26.5191","","0.06%"
"02/08/2024","26.5359","26.5799","26.7198","26.4965","","0.05%"
"02/07/2024","26.5236","26.5358","26.6858","26.4919","","0.17%"
"02/06/2024","26.4796","26.5063","26.6625","26.4265","","0.12%"
"02/05/2024","26.4476","26.6063","26.6137","26.4556","","-0.39%"
"02/02/2024","26.5524","26.8202","26.8941","26.5469","","-0.78%"
"02/01/2024","26.7609","26.6749","26.9326","26.5886","","0.51%"
"01/31/2024","26.6257","26.7709","26.8904","26.5922","","-0.15%"
"01/30/2024","26.6654","26.7792","26.8690","26.6432","","-0.43%"
"01/29/2024","26.7817","26.7532","26.8525","26.6259","","0.27%"
"01/26/2024","26.7100","26.7400","26.9356","26.6549","","0.06%"
"01/25/2024","26.6931","26.8587","26.9287","26.6402","","-0.21%"
"01/24/2024","26.7504","26.7672","27.0191","26.7438","","0.21%"
"01/23/2024","26.6945","26.8375","26.9201","26.6695","","-0.31%"
"01/22/2024","26.7781","26.8734","26.9902","26.7747","","-0.14%"
"01/19/2024","26.8164","26.8168","26.9767","26.7642","","0.22%"
"01/18/2024","26.7587","26.8841","26.9891","26.7260","","-0.48%"
"01/17/2024","26.8865","26.8131","26.9579","26.7198","","0.48%"
"01/16/2024","26.7587","27.0016","27.0602","26.7400","","-0.68%"
"01/15/2024","26.9419","27.0127","27.0473","26.9597","","0.11%"
"01/12/2024","26.9126","27.1430","27.2354","26.9410","","-0.84%"
"01/11/2024","27.1393","27.0605","27.2230","26.9458","","0.51%"
"01/10/2024","27.0007","26.9582","27.1812","26.9328","","0.38%"
"01/09/2024","26.8974","27.0953","27.1657","26.8714","","-0.72%"
"01/08/2024","27.0928","27.0114","27.1884","26.9391","","0.16%"
