"Date","Price","Open","High","Low","Vol.","Change.."
2020-01-07,117.29,117.515,117.66,117.435,"88.91K","-0.01%"
2020-01-06,117.3,117.655,117.695,117.325,"70.60K","-0.14%"
2020-01-03,117.47,117.465,117.725,117.3,"66.62K","0.11%"
2020-01-02,117.34,117.565,117.64,117.365,"49.74K","-0.07%"
2020-01-01,117.42,117.56,117.64,117.47,"8.67K","0.01%"
2019-12-31,117.41,117.55,117.725,117.335,"62.03K","0.09%"
2019-12-30,117.31,117.465,117.705,117.33,"70.71K","-0.10%"
2019-12-27,117.43,117.485,117.685,117.305,"67.81K","0.19%"
2019-12-26,117.21,117.5,117.635,117.31,"47.80K","-0.12%"
2019-12-25,117.35,117.475,117.695,117.265,"31.27K","0.11%"
2019-12-24,117.22,117.495,117.645,117.3,"71.37K","-0.12%"
2019-12-23,117.36,117.525,117.625,117.34,"57.47K","-0.01%"
2019-12-20,117.37,117.425,117.67,117.3,"67.87K","0.17%"
2019-12-19,117.17,117.465,117.66,117.275,"74.97K","-0.03%"
2019-12-18,117.21,117.465,117.65,117.26,"75.98K","-0.01%"
2019-12-17,117.22,117.475,117.645,117.335,"78.72K","-0.02%"
2019-12-16,117.24,117.505,117.75,117.295,"68.63K","-0.10%"
2019-12-13,117.36,117.48,117.7,117.32,"98.46K","0.11%"
2019-12-12,117.23,117.485,117.69,117.325,"88.28K","0.00%"
2019-12-11,117.23,117.445,117.655,117.34,"81.99K","0.02%"
2019-12-10,117.21,117.565,117.645,117.31,"78.68K","-0.05%"
2019-12-09,117.27,117.51,117.69,117.32,"54.73K","-0.12%"
2019-12-06,117.41,117.505,117.695,117.185,"63.45K","0.11%"
2019-12-05,117.28,117.47,117.65,117.25,"74.65K","0.06%"
2019-12-04,117.21,117.465,117.68,117.33,"85.35K","-0.02%"
2019-12-03,117.23,117.495,117.63,117.31,"86.06K","-0.01%"
2019-12-02,117.24,117.55,117.705,117.305,"73.78K","-0.17%"
2019-11-29,117.44,117.605,117.685,117.42,"70.36K","-0.03%"
2019-11-28,117.47,117.525,117.715,117.47,"76.78K","-0.01%"
2019-11-27,117.48,117.625,117.73,117.41,"76.81K","-0.02%"
2019-11-26,117.5,117.605,117.76,117.38,"77.09K","0.11%"
2019-11-25,117.37,117.55,117.72,117.32,"68.54K","-0.03%"
2019-11-22,117.41,117.615,117.785,117.33,"81.82K","0.04%"
2019-11-21,117.36,117.625,117.715,117.32,"90.62K","-0.01%"
2019-11-20,117.37,117.47,117.665,117.295,"89.40K","0.02%"
2019-11-19,117.35,117.395,117.615,117.265,"84.41K","0.18%"
2019-11-18,117.14,117.45,117.635,117.195,"75.94K","-0.14%"
2019-11-15,117.31,117.485,117.615,117.225,"78.72K","0.05%"
2019-11-14,117.25,117.53,117.65,117.245,"81.90K","-0.03%"
2019-11-13,117.28,117.46,117.655,117.245,"78.84K","-0.03%"
2019-11-12,117.32,117.63,117.695,117.2,"68.26K","-0.15%"
2019-11-11,117.5,117.515,117.75,117.45,"45.87K","0.13%"
2019-11-08,117.35,117.365,117.555,117.18,"72.52K","0.20%"
