Date,Price,Open,High,Low,Vol.,Change..
2021-08-31,23.6884,23.7592,23.837,23.6362,NA,-0.23%
2021-09-01,23.6535,23.7042,23.7265,23.6145,NA,-0.15%
2021-09-02,23.6934,23.6766,23.7546,23.6104,NA,0.17%
2021-09-03,23.663,23.7036,23.7504,23.601,NA,-0.13%
2021-09-06,23.628,23.6701,23.6868,23.5679,NA,-0.15%
2021-09-07,23.5837,23.6415,23.7167,23.5931,NA,-0.19%
2021-09-08,23.5445,23.6086,23.6575,23.4874,NA,-0.17%
2021-09-09,23.5519,23.5637,23.6261,23.5034,NA,0.03%
2021-09-10,23.4854,23.5728,23.5975,23.4477,NA,-0.28%
2021-09-13,23.4549,23.4811,23.5038,23.3855,NA,-0.13%
2021-09-14,23.4895,23.4615,23.5567,23.4605,NA,0.15%
2021-09-15,23.4575,23.5099,23.5446,23.4468,NA,-0.14%
2021-09-16,23.4468,23.4755,23.4898,23.3531,NA,-0.05%
2021-09-17,23.4665,23.4587,23.5228,23.422,NA,0.08%
2021-09-20,23.5988,23.4727,23.6921,23.4639,NA,0.56%
2021-09-21,23.5961,23.6212,23.6487,23.5265,NA,-0.01%
2021-09-22,23.4696,23.6089,23.6331,23.4174,NA,-0.54%
2021-09-23,23.5226,23.4792,23.5504,23.4068,NA,0.23%
2021-09-24,23.4869,23.5333,23.6646,23.49,NA,-0.15%
2021-09-27,23.4959,23.5131,23.5799,23.4307,NA,0.04%
2021-09-28,23.7318,23.5201,23.824,23.4895,NA,1.00%
2021-09-29,23.7524,23.7533,23.9512,23.6502,NA,0.09%
2021-09-30,23.8916,23.7794,23.9422,23.7022,NA,0.59%
2021-10-01,23.6854,23.9069,24.0182,23.6587,NA,-0.86%
2021-10-04,23.7966,23.7015,23.9786,23.6872,NA,0.47%
2021-10-05,23.8321,23.8144,23.9155,23.7645,NA,0.15%
2021-10-06,23.7464,23.8605,24.1233,23.7391,NA,-0.36%
2021-10-07,23.8427,23.7592,23.9118,23.6607,NA,0.41%
2021-10-08,23.931,23.8664,24.0617,23.7715,NA,0.37%
2021-10-11,24.0896,23.9798,24.1356,23.9449,NA,0.66%
2021-10-12,23.9476,24.1187,24.1676,23.9063,NA,-0.59%
2021-10-13,23.8187,23.9579,24.0157,23.8215,NA,-0.54%
2021-10-14,23.8129,23.8263,23.9502,23.8176,NA,-0.02%
2021-10-15,23.5776,23.8417,23.8855,23.5599,NA,-0.99%
2021-10-18,23.6865,23.5825,23.7754,23.5744,NA,0.46%
2021-10-19,23.528,23.6984,23.7509,23.5195,NA,-0.67%
2021-10-20,23.5277,23.5467,23.6049,23.4704,NA,0.00%
2021-10-21,23.5825,23.5449,23.668,23.5199,NA,0.23%
2021-10-22,23.485,23.6,23.6425,23.4345,NA,-0.41%
2021-10-25,23.3896,23.4989,23.5566,23.4007,NA,-0.41%
2021-10-26,23.4179,23.4102,23.4673,23.3733,NA,0.12%
2021-10-27,23.5561,23.4424,23.5956,23.3938,NA,0.59%
2021-10-28,23.784300000000002,23.5754,23.8638,23.504,NA,0.97%
2021-10-29,23.7521,23.8018,23.921,23.6956,NA,-0.14%
2021-11-01,24.17,23.7572,24.2238,23.7327,NA,1.76%
2021-11-02,24.0535,24.1968,24.2719,23.9808,NA,-0.48%
2021-11-03,23.8353,24.0751,24.2738,23.8113,NA,-0.91%
2021-11-04,23.7252,23.85,23.914,23.6882,NA,-0.46%
2021-11-05,23.4986,23.7356,23.8661,23.474,NA,-0.96%
2021-11-08,23.5448,23.504,23.6446,23.4946,NA,0.20%
2021-11-09,23.5309,23.5653,23.5938,23.4534,NA,-0.06%
2021-11-10,23.6688,23.5553,23.7037,23.4883,NA,0.59%
2021-11-11,23.6246,23.6971,23.735,23.4326,NA,-0.19%
2021-11-12,23.4828,23.6416,23.7269,23.3965,NA,-0.60%
2021-11-15,23.4194,23.4995,23.6228,23.4055,NA,-0.27%
2021-11-16,23.4548,23.4357,23.6712,23.3697,NA,0.15%
2021-11-17,23.3624,23.4762,23.5357,23.3572,NA,-0.39%
2021-11-18,23.6077,23.3764,23.6847,23.3398,NA,1.05%
2021-11-19,23.5061,23.6306,23.6384,23.3523,NA,-0.43%
2021-11-22,23.5745,23.534300000000002,23.6359,23.4659,NA,0.29%
2021-11-23,23.8143,23.6005,24.0086,23.5872,NA,1.02%
2021-11-24,23.9695,23.8357,24.1996,23.7903,NA,0.65%
2021-11-25,24.1573,23.9934,24.2164,23.9589,NA,0.78%
2021-11-26,24.7955,24.1683,24.9701,24.1608,NA,2.64%
2021-11-29,24.4503,24.7773,24.8312,24.3663,NA,-1.39%
2021-11-30,24.3008,24.472,24.7456,24.1019,NA,-0.61%
2021-12-01,24.3495,24.3188,24.3652,23.9412,NA,0.20%
2021-12-02,24.0081,24.3576,24.3649,24.0235,NA,-1.40%
2021-12-03,24.056,24.0315,24.3071,23.9107,NA,0.20%
2021-12-06,23.9321,24.0832,24.0832,23.8694,NA,-0.52%
2021-12-07,23.6823,23.9545,24.0134,23.6338,NA,-1.04%
2021-12-08,23.7286,23.7007,23.8101,23.5895,NA,0.20%
2021-12-09,23.6421,23.7461,23.8289,23.6399,NA,-0.36%
2021-12-10,23.6015,23.6544,23.7736,23.5459,NA,-0.17%
2021-12-13,23.7056,23.6311,23.7424,23.5004,NA,0.44%
2021-12-14,23.8874,23.72,23.9652,23.6409,NA,0.77%
2021-12-15,23.7065,23.9114,23.9886,23.711,NA,-0.76%
2021-12-16,23.5679,23.718,23.8138,23.5016,NA,-0.58%
2021-12-17,23.4121,23.5924,23.6483,23.3121,NA,-0.66%
2021-12-20,23.4227,23.4334,23.5838,23.3533,NA,0.05%
2021-12-21,23.4698,23.441,23.5407,23.3309,NA,0.20%
2021-12-22,23.435,23.4802,23.5593,23.4392,NA,-0.15%
2021-12-23,23.364,23.4568,23.5201,23.3256,NA,-0.30%
2021-12-24,23.313,23.393,23.4184,23.2889,NA,-0.22%
