Date,Price,Open,High,Low,Vol.,Change..
2019-11-15,3.1422,3.1347,3.1637,3.1181,115.14K,0.28%
2019-11-18,3.1375,3.1515,3.1674,3.1275,99.56K,-0.15%
2019-11-19,3.1491,3.1389,3.1706,3.1323,122.77K,0.37%
2019-11-20,3.1532,3.15,3.1697,3.1301,126.30K,0.13%
2019-11-21,3.1519,3.1546,3.1641,3.1346,75.98K,-0.04%
2019-11-22,3.1333,3.1533,3.1632,3.1286,79.46K,-0.59%
2019-11-25,3.133,3.1341,3.1553,3.1208,96.53K,-0.01%
2019-11-26,3.1322,3.1344,3.1642,3.1224,99.80K,-0.03%
2019-11-27,3.131,3.1336,3.1639,3.123,86.66K,-0.04%
2019-11-28,3.1532,3.1319,3.1609,3.127,103.53K,0.71%
2019-11-29,3.1323,3.1544,3.1565,3.1229,78.58K,-0.66%
2019-12-02,3.1444,3.1339,3.1692,3.1268,117.80K,0.39%
2019-12-03,3.16,3.1553,3.1747,3.1327,120.28K,0.50%
2019-12-04,3.1542,3.1395,3.1734,3.1344,106.64K,-0.18%
2019-12-05,3.1553,3.1559,3.1753,3.1369,108.33K,0.03%
2019-12-06,3.1505,3.1558,3.1755,3.1444,95.62K,-0.15%
2019-12-09,3.1511,3.1593,3.1707,3.1353,91.59K,0.02%
2019-12-10,3.1542,3.1524,3.176,3.1426,138.43K,0.10%
2019-12-11,3.1572,3.1688,3.1897,3.1525,159.60K,0.10%
2019-12-12,3.1714,3.1586,3.1907,3.1486,118.78K,0.45%
2019-12-13,3.156,3.1734,3.186,3.1474,159.22K,-0.49%
2019-12-16,3.1707,3.1648,3.1794,3.1407,96.80K,0.47%
2019-12-17,3.1668,3.1718,3.1813,3.1483,100.82K,-0.12%
2019-12-18,3.1459,3.1679,3.1858,3.136,91.65K,-0.66%
2019-12-19,3.169,3.1664,3.1771,3.1334,92.42K,0.73%
2019-12-20,3.1604,3.1704,3.1744,3.1263,113.66K,-0.27%
2019-12-23,3.1406,3.1487,3.1708,3.1228,88.44K,-0.63%
2019-12-24,3.1543,3.1428,3.1602,3.1273,84.80K,0.44%
2019-12-25,3.1389,3.1557,3.1603,3.1233,26.01K,-0.49%
2019-12-26,3.1325,3.1402,3.1562,3.1232,40.07K,-0.20%
2019-12-27,3.1282,3.1339,3.1569,3.1186,77.41K,-0.14%
2019-12-30,3.1368,3.1525,3.17,3.0981,79.85K,0.27%
2019-12-31,3.1262,3.138,3.1608,3.1071,81.86K,-0.34%
2020-01-01,3.1169,3.1123,3.129,3.1052,1.36K,-0.30%
2020-01-02,3.1081,3.1186,3.1469,3.0945,71.88K,-0.28%
