"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2021","23.4624","23.5636","23.5739","23.4104","","-0.36%"
"07/15/2021","23.5472","23.5332","23.6095","23.5116","","0.15%"
"07/14/2021","23.5125","23.6232","23.6348","23.4849","","-0.42%"
"07/13/2021","23.6116","23.5439","23.7025","23.5100","","0.33%"
"07/12/2021","23.5345","23.5837","23.7169","23.5040","","-0.14%"
"07/09/2021","23.5667","23.6945","23.7208","23.5648","","-0.47%"
"07/08/2021","23.6769","23.5215","23.8375","23.5039","","0.81%"
"07/07/2021","23.4872","23.6681","23.7094","23.4965","","-0.72%"
"07/06/2021","23.6570","23.5520","23.7234","23.4363","","0.49%"
"07/05/2021","23.5418","23.4565","23.5849","23.4531","","0.43%"
"07/02/2021","23.4409","23.6989","23.7188","23.4274","","-1.02%"
"07/01/2021","23.6830","23.6528","23.8215","23.5958","","0.23%"
"06/30/2021","23.6282","23.5769","23.6745","23.5044","","0.31%"
"06/29/2021","23.5557","23.6434","23.6649","23.5095","","-0.33%"
"06/28/2021","23.6332","23.6623","23.7505","23.5675","","-0.02%"
"06/25/2021","23.6381","23.7013","23.7541","23.5670","","-0.18%"
"06/24/2021","23.6816","24.0836","24.1206","23.5238","","-1.52%"
"06/23/2021","24.0468","24.2964","24.3407","24.0551","","-0.94%"
"06/22/2021","24.2759","24.4207","24.6010","24.2641","","-0.49%"
"06/21/2021","24.3958","24.5383","24.6012","24.3680","","-0.43%"
"06/18/2021","24.5004","24.3221","24.6303","24.2676","","0.81%"
"06/17/2021","24.3037","24.4827","24.6075","24.2243","","-0.68%"
"06/16/2021","24.4702","24.2781","24.5142","24.1891","","0.88%"
"06/15/2021","24.2577","24.1962","24.4809","24.1351","","0.36%"
"06/14/2021","24.1710","24.0868","24.2171","24.0124","","0.45%"
"06/11/2021","24.0637","23.9634","24.1996","23.8858","","0.49%"
"06/10/2021","23.9474","24.0401","24.0600","23.9368","","-0.34%"
"06/09/2021","24.0290","23.9857","24.1053","23.9060","","0.25%"
"06/08/2021","23.9696","24.1431","24.1887","23.9664","","-0.68%"
"06/07/2021","24.1331","24.2928","24.2993","24.0100","","-0.54%"
"06/04/2021","24.2643","24.4515","24.4802","24.2214","","-0.70%"
"06/03/2021","24.4347","24.2974","24.4753","24.2750","","0.64%"
"06/02/2021","24.2788","24.3981","24.4288","24.2746","","-0.41%"
"06/01/2021","24.3780","24.3972","24.4336","24.2737","","-0.03%"
"05/31/2021","24.3841","24.2889","24.4074","24.2516","","0.49%"
"05/28/2021","24.2662","24.3195","24.4620","24.2467","","-0.19%"
"05/27/2021","24.3121","24.2262","24.4307","24.1903","","0.39%"
"05/26/2021","24.2179","24.4048","24.4177","24.2137","","-0.73%"
"05/25/2021","24.3966","24.2577","24.4167","24.2430","","0.64%"
"05/24/2021","24.2408","24.2768","24.4146","24.2367","","-0.14%"
"05/21/2021","24.2752","24.2936","24.3711","24.2087","","-0.03%"
