"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2020","24.0100","24.1440","24.2620","24.0865","0.02K","-0.35%"
"12/23/2020","24.0940","24.1150","24.1670","24.0870","0.01K","-0.73%"
"12/22/2020","24.2700","24.1350","24.3030","24.0875","0.02K","0.77%"
"12/21/2020","24.0850","24.1540","24.2770","24.0875","0.03K","-0.08%"
"12/18/2020","24.1040","24.1530","24.2770","24.1015","0.02K","-0.50%"
"12/17/2020","24.2250","24.1590","24.2795","24.1015","0.02K","0.48%"
"12/16/2020","24.1090","24.1650","24.2780","24.1245","0.02K","-0.02%"
"12/15/2020","24.1150","24.1530","24.3075","24.1065","0.02K","0.05%"
"12/14/2020","24.1030","24.1660","24.3115","24.1015","0.03K","0.14%"
"12/11/2020","24.0700","24.1660","24.3100","24.1180","0.02K","-0.19%"
"12/10/2020","24.1160","24.2020","24.3175","24.1230","0.03K","-0.15%"
"12/09/2020","24.1520","24.1930","24.3510","24.1360","0.02K","0.04%"
"12/08/2020","24.1430","24.1930","24.3470","24.1415","0.02K","0.00%"
"12/07/2020","24.1430","24.2010","24.3605","24.1465","0.02K","-0.03%"
"12/04/2020","24.1510","24.2090","24.4045","24.1305","0.03K","-0.53%"
"12/03/2020","24.2800","24.2150","24.3575","24.1245","0.03K","0.48%"
"12/02/2020","24.1650","24.2260","24.3830","24.1325","0.02K","-0.05%"
"12/01/2020","24.1760","24.2260","24.3680","24.1380","0.02K","0.00%"
"11/30/2020","24.1760","24.2230","24.3300","24.1965","0.03K","0.01%"
"11/27/2020","24.1730","24.2600","24.3800","24.1415","0.02K","-0.15%"
"11/26/2020","24.2100","24.2590","24.2600","24.2590","0.01K","0.00%"
"11/25/2020","24.2090","24.2760","24.3980","24.1695","0.02K","-0.07%"
"11/24/2020","24.2260","24.2860","24.3980","24.1930","0.02K","-0.04%"
"11/23/2020","24.2360","24.2860","24.4080","24.1830","0.02K","0.00%"
"11/20/2020","24.2360","24.5505","24.5550","24.1930","1.09K","-1.28%"
"11/19/2020","24.5505","24.5505","24.5650","24.2050","1.31K","0.00%"
"11/18/2020","24.5505","24.5529","24.5650","24.1750","1.27K","-0.01%"
"11/17/2020","24.5529","24.5557","24.5600","24.2085","1.31K","-0.01%"
"11/16/2020","24.5557","24.3120","24.5585","24.3079","0.81K","0.02%"
"11/13/2020","24.5520","24.5520","24.5565","24.2045","1.08K","0.00%"
"11/12/2020","24.5520","24.5527","24.5680","24.2615","1.17K","0.00%"
"11/11/2020","24.5527","24.5583","24.5675","24.3092","1.31K","-0.02%"
"11/10/2020","24.5583","24.3230","24.5615","24.3065","1.23K","0.00%"
"11/09/2020","24.5571","24.3160","24.6000","24.3151","0.86K","-0.01%"
"11/06/2020","24.5595","24.5595","24.6000","24.3160","1.25K","0.00%"
"11/05/2020","24.5595","24.5595","24.6000","24.3170","1.25K","0.00%"
"11/04/2020","24.5595","24.5595","24.6000","24.3140","1.27K","0.00%"
"11/03/2020","24.5595","24.5641","24.6000","24.3230","0.69K","-0.02%"
"11/02/2020","24.5641","24.3380","24.6100","24.3235","0.60K","0.00%"
"10/30/2020","24.5643","24.5632","24.6000","24.3225","1.27K","0.00%"
"10/29/2020","24.5632","24.5645","24.5900","24.3321","1.30K","-0.01%"
"10/28/2020","24.5645","24.5815","24.5830","24.3315","1.35K","-0.07%"
"10/27/2020","24.5815","24.5815","24.5900","24.3375","1.20K","0.00%"
"10/26/2020","24.5815","24.3780","24.5895","24.3410","0.73K","0.00%"
"10/23/2020","24.5815","24.5910","24.5955","24.3540","0.63K","-0.04%"
"10/22/2020","24.5910","24.5910","24.6020","24.3555","1.14K","0.00%"
"10/21/2020","24.5910","24.5972","24.6055","24.3615","1.28K","-0.03%"
"10/20/2020","24.5972","24.6023","24.6110","24.3650","1.32K","-0.02%"
"10/19/2020","24.6023","24.4320","24.6165","24.3960","0.76K","-0.04%"
"10/16/2020","24.6117","24.6117","24.6195","24.3660","1.23K","0.00%"
"10/15/2020","24.6117","24.6148","24.6345","24.3595","1.43K","-0.01%"
"10/14/2020","24.6148","24.6148","24.6565","24.4145","1.32K","0.00%"
"10/13/2020","24.6148","24.6149","24.6615","24.4015","0.66K","0.00%"
"10/12/2020","24.6149","24.4390","24.6215","24.4299","0.54K","0.00%"
"10/09/2020","24.6149","24.6149","24.6395","24.3850","0.56K","0.00%"
"10/08/2020","24.6149","24.6155","24.6590","24.4050","0.63K","0.00%"
"10/07/2020","24.6155","24.6192","24.6650","24.4185","0.65K","-0.02%"
"10/06/2020","24.6192","24.6206","24.6660","24.4200","0.66K","-0.01%"
"10/05/2020","24.6206","24.4540","24.6770","24.4210","0.54K","-0.01%"
"10/02/2020","24.6224","24.6224","24.6810","24.4270","0.82K","0.00%"
"10/01/2020","24.6224","24.6246","24.6790","24.4275","0.84K","-0.01%"
"09/30/2020","24.6246","24.6301","24.6845","24.4275","1.31K","-0.02%"
"09/29/2020","24.6301","24.6301","24.6720","24.4395","1.28K","0.00%"
"09/28/2020","24.6301","24.4780","24.6975","24.4370","0.68K","-0.01%"
"09/25/2020","24.6325","24.6385","24.7060","24.4490","1.27K","-0.02%"
"09/24/2020","24.6385","24.6385","24.7010","24.4530","1.26K","0.00%"
"09/23/2020","24.6385","24.6385","24.6980","24.4430","1.27K","0.00%"
"09/22/2020","24.6385","24.6385","24.6980","24.4530","1.23K","0.00%"
"09/21/2020","24.6385","24.4960","24.7080","24.4430","0.83K","0.00%"
"09/18/2020","24.6385","24.6416","24.7030","24.4585","1.26K","-0.01%"
"09/17/2020","24.6416","24.6416","24.6515","24.4897","1.23K","0.00%"
"09/16/2020","24.6416","24.6416","24.7060","24.4570","1.29K","0.00%"
"09/15/2020","24.6416","24.6469","24.7180","24.4680","1.30K","-0.02%"
"09/14/2020","24.6469","24.5030","24.7115","24.4730","0.78K","0.00%"
"09/11/2020","24.6469","24.6469","24.7035","24.4765","0.60K","0.00%"
"09/10/2020","24.6469","24.6487","24.7150","24.4750","0.66K","-0.01%"
"09/09/2020","24.6487","24.6505","24.7160","24.4755","0.65K","-0.01%"
"09/08/2020","24.6505","24.6517","24.7170","24.4560","0.65K","0.00%"
"09/07/2020","24.6517","24.5130","24.6570","24.5082","0.57K","0.00%"
"09/04/2020","24.6517","24.6521","24.7375","24.4515","0.65K","0.00%"
"09/03/2020","24.6521","24.6528","24.7295","24.4925","0.84K","0.00%"
"09/02/2020","24.6528","24.6551","24.7265","24.4925","1.29K","-0.01%"
"09/01/2020","24.6551","24.5460","24.7435","24.4965","1.13K","-0.01%"
"08/31/2020","24.6570","24.5400","24.7280","24.4800","0.78K","-0.01%"
"08/28/2020","24.6585","24.6603","24.7305","24.5005","1.35K","-0.01%"
"08/27/2020","24.6603","24.6609","24.7355","24.4760","1.32K","0.00%"
